%Stretch1, Stretch2, Sigma, Sigma_min_mean, Sigma_max_mean, ElEdge_min, ElEdge_max, ElEdge_mean, ElDetJ_min_mean, ElDetJ_max_mean, Stretch_max, Stretch_min, Stretch_mean, Diag_max, Diag_min, Diag_mean, Taper_max, Taper_min, Taper_mean, Skew_max, Skew_min, Skew_mean, dist_lapl_max, dist_lapl_min, dist_lapl_mean, _DROP_TOL_, Iters, Op_Complex, Smoo_Complex, SolveTime, CostEst
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.005,35,1.04,1.07,33.62,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.1,-1,-1,-1,-1,-1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.075,-1,-1,-1,-1,-1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.05,-1,-1,-1,-1,-1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.01,35,1.04,1.07,25.26,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.025,26,1.09,1.13,23.88,1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0.001,35,1.04,1.07,25.12,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,1,0.594922,0.759679,1,1,1,1,1,1,0,0,0,0.336437,0.0162445,0.0379341,0,32,1.03,1.07,31.99,0
23.95,85.32,1e0,1,1,1,85.32,45.5359,0.00185728,3.7952,1,0.0195439,0.0842111,1,1,1,1,1,1,0,0,0,0.704633,2.28795e-05,0.0378824,0.001,146,1.13,1.17,142.4,0
23.95,85.32,1e0,1,1,1,85.32,45.5359,0.00185728,3.7952,1,0.0195439,0.0842111,1,1,1,1,1,1,0,0,0,0.704633,2.28795e-05,0.0378824,0,188,1.03,1.07,262.7,0
23.95,85.32,1e0,1,1,1,85.32,45.5359,0.00185728,3.7952,1,0.0195439,0.0842111,1,1,1,1,1,1,0,0,0,0.704633,2.28795e-05,0.0378824,0.01,52,1.27,1.32,40.72,0
